# recomp/names_proposals_hand_2026-09-25.csv -- Sprint 13 Task N1: Pass=hand, the runtime's own names for the guest routines it replaces or wraps.
# Rule: a row is an address the runtime binds (game_overrides_socom2.cpp's replaceFunction calls, the socom2_addresses.h kR0001 column) whose csv Name is a placeholder AND that has no sidecar row; its name is the runtime's identifier for it -- the address table's field name, or for a loader address the host function's name less `socom2_`.
# Evidence is file:line under third_party/ps2recomp/ps2xRuntime/; a hand row carries evidence and no Score (tools_py/apply_names.py HAND_PASS). Addresses already named in the sidecar are not proposed (D2): the runtime's name for each agrees with or is coarser than the name they carry.
# Apply: python -m tools_py.apply_names recomp/socom2_ghidra.csv recomp/socom2_names.csv <this> --holds recomp/socom2_name_holds.csv; r0004: python -m tools_py.apply_names recomp/socom2_ghidra_r0004.csv recomp/socom2_names_r0004.csv <this> --through game/r0004/match.json (exact placements only).
Address,Current,Proposed,Mangled,Pass,Evidence
0x001c59c0,FUN_001c59c0,LoadGameCodeFromDisc,LoadGameCodeFromDisc,hand,src/lib/game_overrides_socom2.cpp:2243 replaces it with socom2_LoadGameCodeFromDisc; src/lib/game_overrides_socom2.cpp:500 FUN_001c59c0: load DNAS.BIN from disc
0x001c5b30,FUN_001c5b30,LoadGameCodeFromMemcard,LoadGameCodeFromMemcard,hand,src/lib/game_overrides_socom2.cpp:2244 replaces it with socom2_LoadGameCodeFromMemcard
0x002472c8,FUN_002472c8,netbExOpen,netbExOpen,hand,include/runtime/socom2_addresses.h:170 the kR0001 row netbExOpen; include/runtime/socom2_addresses.h:114 the field; bound at src/lib/game_overrides_socom2.cpp:2260 socom2_libnetb::exOpen
0x002474f8,FUN_002474f8,netbExTcpRecv,netbExTcpRecv,hand,include/runtime/socom2_addresses.h:171 the kR0001 row netbExTcpRecv; include/runtime/socom2_addresses.h:115 the field; bound at src/lib/game_overrides_socom2.cpp:2261 socom2_libnetb::exTcpRecv
0x00247738,FUN_00247738,netbExTcpSend,netbExTcpSend,hand,include/runtime/socom2_addresses.h:172 the kR0001 row netbExTcpSend; include/runtime/socom2_addresses.h:116 the field; bound at src/lib/game_overrides_socom2.cpp:2262 socom2_libnetb::exTcpSend
0x002479b8,FUN_002479b8,netbExAvailable,netbExAvailable,hand,include/runtime/socom2_addresses.h:175 the kR0001 row netbExAvailable; include/runtime/socom2_addresses.h:119 the field; bound at src/lib/game_overrides_socom2.cpp:2265 socom2_libnetb::exAvailable
0x00247bd8,FUN_00247bd8,netbExConnected,netbExConnected,hand,include/runtime/socom2_addresses.h:176 the kR0001 row netbExConnected; include/runtime/socom2_addresses.h:120 the field; bound at src/lib/game_overrides_socom2.cpp:2266 socom2_libnetb::exConnected
0x00247d30,FUN_00247d30,netbExUdpRecv,netbExUdpRecv,hand,include/runtime/socom2_addresses.h:173 the kR0001 row netbExUdpRecv; include/runtime/socom2_addresses.h:117 the field; bound at src/lib/game_overrides_socom2.cpp:2263 socom2_libnetb::exUdpRecv
0x00247fe8,FUN_00247fe8,netbExUdpSend,netbExUdpSend,hand,include/runtime/socom2_addresses.h:174 the kR0001 row netbExUdpSend; include/runtime/socom2_addresses.h:118 the field; bound at src/lib/game_overrides_socom2.cpp:2264 socom2_libnetb::exUdpSend
0x00248350,FUN_00248350,netbExStartAsync,netbExStartAsync,hand,include/runtime/socom2_addresses.h:177 the kR0001 row netbExStartAsync; include/runtime/socom2_addresses.h:121 the field (two entry points share one host implementation); bound at src/lib/game_overrides_socom2.cpp:2267 socom2_libnetb::exStartAsync
0x002483f8,FUN_002483f8,netbExStartAsync2,netbExStartAsync2,hand,include/runtime/socom2_addresses.h:178 the kR0001 row netbExStartAsync2; include/runtime/socom2_addresses.h:122 the field; bound at src/lib/game_overrides_socom2.cpp:2268 socom2_libnetb::exStartAsync
0x00290c30,FUN_00290c30,cull,cull,hand,include/runtime/socom2_addresses.h:144 the kR0001 row cull; include/runtime/socom2_addresses.h:87 the field (the visibility cull the cull trace wraps); bound at src/lib/game_overrides_socom2.cpp:2135 socom2_CullTrace
