Address,Name,Mangled,Pass,Score,Evidence,Source,Date
0x00181b00,_delete_vec,_delete_vec__FPvPCci,exact,1.00,"exact: fingerprint exact, 64 B",demo_symbol_renames.csv; research/44,2026-09-24
0x00181ed0,destroy_arr,__destroy_arr,callgraph,0.80,callgraph: callgraph round 1; key=caller+pair; |K|=5+5; order=between,demo_symbol_renames_callgraph.csv; research/52,2026-09-24
0x001821d0,ps2_dynamic_cast,__dynamic_cast,string-set&callgraph,0.80,string-set: strings=1;order=anchors-out-of-order;callees=overlap | callgraph: callgraph round 1; key=caller+pair; |K|=4+5; order=between,demo_symbol_renames_strings.csv; research/53 | demo_symbol_renames_callgraph.csv; research/52,2026-09-24
0x00182410,std_exception_dtor,__dt__Q23std9exceptionFv,vtable-slot,0.75,vtable-slot: vtable std::exception slot 0; fixed points start..1:1; ratio=1.00,"demo_symbol_renames_7c.csv; research/51, research/60",2026-09-24
0x00182460,std_bad_cast_dtor,__dt__Q23std8bad_castFv,vtable-slot,0.75,vtable-slot: vtable std::bad_cast slot 0; fixed points start..1:1; ratio=0.96,"demo_symbol_renames_7c.csv; research/51, research/60",2026-09-24
0x001824e0,throw_catch_compare,__throw_catch_compare,offset-multiset,0.75,"offset-multiset: offset multiset unique both sides, 26 accesses, ratio 0.97",demo_symbol_renames_offsets.csv; research/54,2026-09-24
0x00182930,DecodeUnsignedNumber,__DecodeUnsignedNumber__FPcPUi,prefix+offsets,0.80,"prefix+offsets: prologue unique both sides + offset multiset unique both sides, 8 accesses",demo_symbol_renames_prefix_offsets.csv; research/54,2026-09-24
0x001829e0,DecodeSignedNumber,__DecodeSignedNumber__FPcPi,prefix+offsets,0.80,"prefix+offsets: prologue unique both sides + offset multiset unique both sides, 8 accesses",demo_symbol_renames_prefix_offsets.csv; research/54,2026-09-24
0x00182ad0,ThrowHandler,__ThrowHandler__FP12ThrowContext,callgraph,0.80,callgraph: callgraph round 1; key=callee+pair; |K|=7+8; order=between,demo_symbol_renames_callgraph.csv; research/52,2026-09-24
0x00183024,unexpected,__unexpected,string-set,0.80,string-set: strings=2;order=between;callees=overlap,demo_symbol_renames_strings.csv; research/53,2026-09-24
0x001831d0,std_bad_exception_dtor,__dt__Q23std13bad_exceptionFv,vtable-slot,0.75,vtable-slot: vtable std::bad_exception slot 0; fixed points start..1:1; ratio=0.96,"demo_symbol_renames_7c.csv; research/51, research/60",2026-09-24
0x001833b0,UnwindStack,UnwindStack__FP12ThrowContextP13ExceptionInfoPc,callgraph,0.80,callgraph: callgraph round 1; key=pair; |K|=5; order=between,demo_symbol_renames_callgraph.csv; research/52,2026-09-24
0x00183c00,NextAction,NextAction__FP14ActionIterator,callgraph,0.80,callgraph: callgraph round 1; key=pair; |K|=6; order=between,demo_symbol_renames_callgraph.csv; research/52,2026-09-24
0x00183f50,FindExceptionRecord,FindExceptionRecord__FPcP13ExceptionInfo,prefix+offsets,0.80,"prefix+offsets: prologue unique both sides + offset multiset unique both sides, 16 accesses",demo_symbol_renames_prefix_offsets.csv; research/54,2026-09-24
0x00184120,TransferControl,__TransferControl__FP12ThrowContextP13ExceptionInfoPc,exact,1.00,"exact: fingerprint exact, 100 B",demo_symbol_renames.csv; research/44,2026-09-24
0x00184280,SetupFrameInfo,__SetupFrameInfo__FP12ThrowContextP13ExceptionInfo,prefix+offsets,0.80,"prefix+offsets: prologue unique both sides + offset multiset unique both sides, 13 accesses",demo_symbol_renames_prefix_offsets.csv; research/54,2026-09-24
0x00184660,std_ios_base_failure_dtor,__dt__Q33std8ios_base7failureFv,vtable-slot,0.75,vtable-slot: vtable std::ios_base::failure slot 0; fixed points start..end; ratio=0.97,"demo_symbol_renames_7c.csv; research/51, research/60",2026-09-24
0x001846e0,std_ios_base_dtor,__dt__Q23std8ios_baseFv,vtable-slot&prefix+offsets,0.80,"vtable-slot: vtable std::ios_base slot 0; fixed points start..end; ratio=0.98 | prefix+offsets: prologue unique both sides + offset multiset unique both sides, 9 accesses","demo_symbol_renames_7c.csv; research/51, research/60 | demo_symbol_renames_prefix_offsets.csv; research/54",2026-09-24
0x001847e0,std_ios_base_init,init__Q23std8ios_baseFPv,exact,1.00,"exact: fingerprint exact, 208 B",demo_symbol_renames.csv; research/44,2026-09-24
0x00184bc0,std_locale_facet_dtor,__dt__Q33std6locale5facetFv,vtable-slot,0.75,vtable-slot: vtable std::locale::facet slot 0; fixed points start..end; ratio=1.00,"demo_symbol_renames_7c.csv; research/51, research/60",2026-09-24
0x00184f20,std_basic_filebuf_dtor_6989d1,"__dt__Q23std39basic_filebuf<c,Q23std14char_traits<c>>Fv",vtable-slot,0.75,"vtable-slot: vtable std::basic_filebuf<char, std::char_traits<char>> slot 0; fixed points start..2:2; ratio=1.00","demo_symbol_renames_7c.csv; research/51, research/60",2026-09-24
0x00185080,std_basic_ostream_dtor_45850d,"__dt__Q23std39basic_ostream<c,Q23std14char_traits<c>>Fv",vtable-slot,0.75,"vtable-slot: vtable std::basic_ostream<char, std::char_traits<char>> slot 0; fixed points start..end; ratio=1.00","demo_symbol_renames_7c.csv; research/51, research/60",2026-09-24
0x00185120,std_basic_istream_dtor_881779,"__dt__Q23std39basic_istream<c,Q23std14char_traits<c>>Fv",vtable-slot,0.75,"vtable-slot: vtable std::basic_istream<char, std::char_traits<char>> slot 0; fixed points start..end; ratio=1.00","demo_symbol_renames_7c.csv; research/51, research/60",2026-09-24
