Address,Name,Mangled,Pass,Score,Evidence,Source,Date
0x00181b00,_delete_vec,_delete_vec__FPvPCci,carried:exact,1.00,"match.json exact from 0x00181b00; exact: fingerprint exact, 64 B",demo_symbol_renames.csv; research/44,2026-09-24
0x00181c90,mwLoadOverlay,mwLoadOverlay,carried:toml-stub,0.90,match.json exact from 0x00181c90; toml-stub: recomp/socom2.toml line 255 (general.untracked_stubs): the project's own stub selector,demo_symbol_renames_toml.csv; research/57,2026-09-24
0x00181d80,mwOverlayInit,mwOverlayInit,carried:toml-stub,0.90,match.json exact from 0x00181d80; toml-stub: recomp/socom2.toml line 256 (general.untracked_stubs): the project's own stub selector,demo_symbol_renames_toml.csv; research/57,2026-09-24
0x00181e30,destroy_new_array,__destroy_new_array,carried:toml-stub,0.90,match.json exact from 0x00181e30; toml-stub: recomp/socom2.toml line 257 (general.untracked_stubs): the project's own stub selector,demo_symbol_renames_toml.csv; research/57,2026-09-24
0x00181ed0,destroy_arr,__destroy_arr,carried:callgraph,0.80,match.json exact from 0x00181ed0; callgraph: callgraph round 1; key=caller+pair; |K|=5+5; order=between,demo_symbol_renames_callgraph.csv; research/52,2026-09-24
0x00181f40,construct_array,__construct_array,carried:toml-stub&callgraph,0.90,match.json exact from 0x00181f40; toml-stub: recomp/socom2.toml line 259 (general.untracked_stubs): the project's own stub selector | callgraph: callgraph round 2; key=caller+pair; |K|=4+4; order=between,demo_symbol_renames_toml.csv; research/57 | demo_symbol_renames_callgraph_loose.csv; research/52,2026-09-24
0x00182070,construct_new_array,__construct_new_array,carried:toml-stub,0.90,match.json exact from 0x00182070; toml-stub: recomp/socom2.toml line 260 (general.untracked_stubs): the project's own stub selector,demo_symbol_renames_toml.csv; research/57,2026-09-24
0x001821d0,ps2_dynamic_cast,__dynamic_cast,carried:string-set&callgraph,0.80,match.json exact from 0x001821d0; string-set: strings=1;order=anchors-out-of-order;callees=overlap | callgraph: callgraph round 1; key=caller+pair; |K|=4+5; order=between,demo_symbol_renames_strings.csv; research/53 | demo_symbol_renames_callgraph.csv; research/52,2026-09-24
0x00182410,std_exception_dtor,__dt__Q23std9exceptionFv,carried:vtable-slot,0.75,match.json seed+delta from 0x00182410; vtable-slot: vtable std::exception slot 0; fixed points start..1:1; ratio=1.00,"demo_symbol_renames_7c.csv; research/51, research/60",2026-09-24
0x00182460,std_bad_cast_dtor,__dt__Q23std8bad_castFv,carried:vtable-slot,0.75,match.json seed+delta from 0x00182460; vtable-slot: vtable std::bad_cast slot 0; fixed points start..1:1; ratio=0.96,"demo_symbol_renames_7c.csv; research/51, research/60",2026-09-24
0x001824e0,throw_catch_compare,__throw_catch_compare,carried:offset-multiset,0.75,"match.json exact from 0x001824e0; offset-multiset: offset multiset unique both sides, 26 accesses, ratio 0.97",demo_symbol_renames_offsets.csv; research/54,2026-09-24
0x00182840,initialize_cpp_rts,__initialize_cpp_rts,carried:toml-stub,0.90,match.json exact from 0x00182840; toml-stub: recomp/socom2.toml line 264 (general.untracked_stubs): the project's own stub selector,demo_symbol_renames_toml.csv; research/57,2026-09-24
0x001828a0,ptmf_scall,__ptmf_scall,carried:toml-stub,0.90,match.json exact from 0x001828a0; toml-stub: recomp/socom2.toml line 265 (general.untracked_stubs): the project's own stub selector,demo_symbol_renames_toml.csv; research/57,2026-09-24
0x001828e0,ptmf_cmpr,__ptmf_cmpr,carried:toml-stub,0.90,match.json exact from 0x001828e0; toml-stub: recomp/socom2.toml line 266 (general.untracked_stubs): the project's own stub selector,demo_symbol_renames_toml.csv; research/57,2026-09-24
0x00182930,DecodeUnsignedNumber,__DecodeUnsignedNumber__FPcPUi,carried:prefix+offsets,0.80,"match.json exact from 0x00182930; prefix+offsets: prologue unique both sides + offset multiset unique both sides, 8 accesses",demo_symbol_renames_prefix_offsets.csv; research/54,2026-09-24
0x001829e0,DecodeSignedNumber,__DecodeSignedNumber__FPcPi,carried:prefix+offsets,0.80,"match.json exact from 0x001829e0; prefix+offsets: prologue unique both sides + offset multiset unique both sides, 8 accesses",demo_symbol_renames_prefix_offsets.csv; research/54,2026-09-24
0x00182a90,end_catch,__end__catch,carried:toml-stub,0.90,match.json exact from 0x00182a90; toml-stub: recomp/socom2.toml line 269 (general.untracked_stubs): the project's own stub selector,demo_symbol_renames_toml.csv; research/57,2026-09-24
0x00182ad0,ThrowHandler,__ThrowHandler__FP12ThrowContext,carried:callgraph,0.80,match.json exact from 0x00182ad0; callgraph: callgraph round 1; key=callee+pair; |K|=7+8; order=between,demo_symbol_renames_callgraph.csv; research/52,2026-09-24
0x00182c80,FindExceptionHandler,FindExceptionHandler__FP12ThrowContextP13ExceptionInfoPl,carried:toml-stub,0.90,match.json exact from 0x00182c80; toml-stub: recomp/socom2.toml line 271 (general.untracked_stubs): the project's own stub selector,demo_symbol_renames_toml.csv; research/57,2026-09-24
0x00182fc0,unexpected,__unexpected,carried:toml-stub,0.90,match.json exact from 0x00182fc0; toml-stub: recomp/socom2.toml line 272 (general.untracked_stubs): the project's own stub selector,demo_symbol_renames_toml.csv; research/57,2026-09-24
0x001831d0,std_bad_exception_dtor,__dt__Q23std13bad_exceptionFv,carried:vtable-slot,0.75,match.json seed+delta from 0x001831d0; vtable-slot: vtable std::bad_exception slot 0; fixed points start..1:1; ratio=0.96,"demo_symbol_renames_7c.csv; research/51, research/60",2026-09-24
0x00183230,FindMostRecentException,FindMostRecentException__FP12ThrowContextP13ExceptionInfo,carried:toml-stub,0.90,match.json exact from 0x00183230; toml-stub: recomp/socom2.toml line 273 (general.untracked_stubs): the project's own stub selector,demo_symbol_renames_toml.csv; research/57,2026-09-24
0x001833b0,UnwindStack,UnwindStack__FP12ThrowContextP13ExceptionInfoPc,carried:callgraph,0.80,match.json exact from 0x001833b0; callgraph: callgraph round 1; key=pair; |K|=5; order=between,demo_symbol_renames_callgraph.csv; research/52,2026-09-24
0x00183c00,NextAction,NextAction__FP14ActionIterator,carried:callgraph,0.80,match.json exact from 0x00183c00; callgraph: callgraph round 1; key=pair; |K|=6; order=between,demo_symbol_renames_callgraph.csv; research/52,2026-09-24
0x00183f50,FindExceptionRecord,FindExceptionRecord__FPcP13ExceptionInfo,carried:prefix+offsets,0.80,"match.json exact from 0x00183f50; prefix+offsets: prologue unique both sides + offset multiset unique both sides, 16 accesses",demo_symbol_renames_prefix_offsets.csv; research/54,2026-09-24
0x00184120,TransferControl,__TransferControl__FP12ThrowContextP13ExceptionInfoPc,carried:exact,1.00,"match.json exact from 0x00184120; exact: fingerprint exact, 100 B",demo_symbol_renames.csv; research/44,2026-09-24
0x00184190,ps2_throw,__throw,carried:toml-stub,0.90,match.json exact from 0x00184190; toml-stub: recomp/socom2.toml line 278 (general.untracked_stubs): the project's own stub selector,demo_symbol_renames_toml.csv; research/57,2026-09-24
0x00184210,SkipUnwindInfo,__SkipUnwindInfo__FPc,carried:toml-stub,0.90,match.json exact from 0x00184210; toml-stub: recomp/socom2.toml line 279 (general.untracked_stubs): the project's own stub selector,demo_symbol_renames_toml.csv; research/57,2026-09-24
